week,MNC,GNC
X1.1995,51,83
X2.1995,71,90
X3.1995,67,119
X4.1995,59,119
X5.1995,55,107
X6.1995,91,96
X7.1995,32,66
X8.1995,54,94
X9.1995,43,90
X10.1995,56,77
X11.1995,66,82
X12.1995,59,86
X1.1996,57,89
X2.1996,69,126
X3.1996,105,127
X4.1996,114,119
X5.1996,86,143
X6.1996,72,92
X7.1996,71,83
X8.1996,64,85
X9.1996,42,101
X10.1996,44,83
X11.1996,52,62
X12.1996,60,73
X1.1997,68,95
X2.1997,67,77
X3.1997,104,108
X4.1997,104,101
X5.1997,80,111
X6.1997,64,87
X7.1997,60,65
X8.1997,62,81
X9.1997,51,79
X10.1997,49,80
X11.1997,50,82
X12.1997,40,65
X1.1998,62,89
X2.1998,72,77
X3.1998,71,114
X4.1998,49,74
X5.1998,90,83
X6.1998,61,106
X7.1998,42,84
X8.1998,74,92
X9.1998,42,82
X10.1998,52,80
X11.1998,65,79
X12.1998,53,81
X1.1999,60,88
X2.1999,82,92
X3.1999,87,117
X4.1999,78,99
X5.1999,91,149
X6.1999,60,102
X7.1999,48,80
X8.1999,52,75
X9.1999,53,102
X10.1999,52,55
X11.1999,81,94
X12.1999,57,78
X1.2000,70,74
X2.2000,57,86
X3.2000,76,102
X4.2000,90,94
X5.2000,84,86
X6.2000,80,105
X7.2000,58,63
X8.2000,67,96
X9.2000,53,61
X10.2000,62,81
X11.2000,53,100
X12.2000,56,82
X1.2001,44,91
X2.2001,54,86
X3.2001,72,123
X4.2001,64,82
X5.2001,82,147
X6.2001,87,127
X7.2001,59,83
X8.2001,53,100
X9.2001,56,107
X10.2001,57,77
X11.2001,43,85
X12.2001,47,77
X1.2002,47,87
X2.2002,41,83
X3.2002,65,110
X4.2002,45,81
X5.2002,91,122
X6.2002,52,102
X7.2002,58,82
X8.2002,69,99
X9.2002,53,108
X10.2002,53,89
X11.2002,59,107
X12.2002,52,104
X1.2003,72,94
X2.2003,42,76
X3.2003,61,96
X4.2003,63,116
X5.2003,71,107
X6.2003,60,113
X7.2003,60,69
X8.2003,48,99
X9.2003,34,97
X10.2003,50,77
X11.2003,47,63
X12.2003,48,72
X1.2004,33,82
X2.2004,25,83
X3.2004,43,101
X4.2004,47,68
X5.2004,57,86
X6.2004,50,69
X7.2004,32,65
X8.2004,35,66
X9.2004,52,73
X10.2004,38,69
X11.2004,41,83
X12.2004,49,71
X1.2005,38,67
X2.2005,41,60
X3.2005,45,75
X4.2005,46,56
X5.2005,64,91
X6.2005,45,63
X7.2005,27,59
X8.2005,29,92
X9.2005,31,54
X10.2005,34,42
X11.2005,35,57
X12.2005,32,79
X1.2006,42,76
X2.2006,33,68
X3.2006,40,68
X4.2006,29,71
X5.2006,48,92
X6.2006,38,54
X7.2006,70,74
X8.2006,48,88
X9.2006,40,57
X10.2006,39,61
X11.2006,43,56
X12.2006,51,62
X1.2007,38,62
X2.2007,35,84
X3.2007,43,71
X4.2007,47,66
X5.2007,56,101
X6.2007,32,75
X7.2007,50,57
X8.2007,46,89
X9.2007,37,70
X10.2007,48,55
X11.2007,45,75
X12.2007,37,66
X1.2008,46,77
X2.2008,56,90
X3.2008,29,80
X4.2008,59,83
X5.2008,65,85
X6.2008,51,80
X7.2008,57,70
X8.2008,29,67
X9.2008,44,113
X10.2008,34,83
X11.2008,44,80
X12.2008,57,71
X1.2009,35,73
X2.2009,34,62
X3.2009,20,75
X4.2009,57,67
X5.2009,56,67
X6.2009,42,79
X7.2009,40,83
X8.2009,30,83
X9.2009,43,80
X10.2009,42,87
X11.2009,30,71
X12.2009,60,81
X1.2010,32,69
X2.2010,35,86
X3.2010,47,112
X4.2010,54,94
X5.2010,62,96
X6.2010,51,87
X7.2010,35,103
X8.2010,52,97
X9.2010,50,58
X10.2010,32,75
X11.2010,36,62
X12.2010,49,83
X1.2011,46,105
X2.2011,33,60
X3.2011,51,95
X4.2011,56,103
X5.2011,47,107
X6.2011,60,115
X7.2011,39,87
X8.2011,37,95
X9.2011,60,86
X10.2011,57,87
X11.2011,47,65
X12.2011,44,105
